ac002d2,ac002d3,ac002d1,mergeid
0.0,0.0,0.0,AT-000327-01
0.0,1.0,1.0,AT-000327-02
0.0,0.0,0.0,AT-001816-01
0.0,0.0,0.0,AT-001816-02
0.0,0.0,0.0,AT-002132-01
0.0,0.0,0.0,AT-002355-01
0.0,0.0,0.0,AT-002355-02
1.0,0.0,0.0,AT-004234-01
0.0,0.0,0.0,AT-004379-01
0.0,0.0,0.0,AT-004855-01
0.0,0.0,0.0,AT-004855-02
0.0,0.0,0.0,AT-004974-01
0.0,0.0,1.0,AT-005460-01
0.0,0.0,0.0,AT-007760-01
0.0,0.0,0.0,AT-008702-01
0.0,0.0,0.0,AT-008866-01
0.0,0.0,0.0,AT-009524-01
0.0,1.0,0.0,AT-010768-01
1.0,0.0,0.0,AT-010904-01
0.0,0.0,0.0,AT-010904-02
0.0,0.0,0.0,AT-010955-01
0.0,0.0,0.0,AT-010955-02
0.0,0.0,1.0,AT-011129-01
0.0,1.0,1.0,AT-011464-01
0.0,0.0,0.0,AT-012207-01
0.0,0.0,0.0,AT-012207-02
0.0,0.0,0.0,AT-013017-01
0.0,0.0,0.0,AT-013179-01
0.0,0.0,0.0,AT-013179-02
0.0,1.0,0.0,AT-013454-01
0.0,0.0,0.0,AT-014640-01
0.0,0.0,0.0,AT-015615-01
0.0,0.0,0.0,AT-016234-01
0.0,0.0,0.0,AT-016245-01
0.0,0.0,0.0,AT-016392-01
0.0,0.0,0.0,AT-016392-02
0.0,0.0,0.0,AT-016537-01
0.0,0.0,0.0,AT-016537-02
0.0,0.0,1.0,AT-017298-01
0.0,0.0,0.0,AT-018404-01
0.0,0.0,0.0,AT-018404-02
0.0,0.0,0.0,AT-018645-01
0.0,0.0,0.0,AT-018838-01
0.0,0.0,0.0,AT-018838-02
0.0,0.0,0.0,AT-019273-01
0.0,0.0,0.0,AT-019273-02
0.0,1.0,0.0,AT-019860-01
1.0,0.0,0.0,AT-019860-02
0.0,0.0,1.0,AT-020377-01
0.0,0.0,0.0,AT-020377-02
1.0,1.0,0.0,AT-020412-01
1.0,1.0,0.0,AT-020412-02
0.0,0.0,0.0,AT-020465-01
0.0,0.0,0.0,AT-020465-02
0.0,0.0,0.0,AT-020895-01
0.0,0.0,0.0,AT-020975-01
0.0,0.0,0.0,AT-020975-02
0.0,0.0,0.0,AT-022848-01
0.0,0.0,0.0,AT-023465-01
0.0,0.0,0.0,AT-024225-01
0.0,0.0,0.0,AT-024225-02
0.0,1.0,0.0,AT-024620-01
1.0,1.0,1.0,AT-024925-01
0.0,0.0,0.0,AT-025115-01
0.0,0.0,0.0,AT-025115-02
0.0,0.0,0.0,AT-025847-01
1.0,0.0,0.0,AT-026066-01
0.0,0.0,0.0,AT-026212-01
0.0,0.0,0.0,AT-027032-01
0.0,0.0,0.0,AT-027032-02
0.0,0.0,0.0,AT-027287-01
0.0,1.0,0.0,AT-027751-01
0.0,1.0,0.0,AT-027751-02
0.0,0.0,0.0,AT-027901-01
0.0,0.0,0.0,AT-027901-02
0.0,0.0,0.0,AT-028625-01
0.0,0.0,0.0,AT-028724-01
0.0,0.0,0.0,AT-028724-02
0.0,0.0,0.0,AT-028778-01
0.0,0.0,0.0,AT-028778-02
0.0,0.0,0.0,AT-030660-01
0.0,0.0,0.0,AT-033812-01
0.0,0.0,1.0,AT-034868-01
1.0,1.0,1.0,AT-036830-01
0.0,1.0,0.0,AT-036830-02
0.0,0.0,0.0,AT-037076-01
0.0,0.0,0.0,AT-038211-01
0.0,0.0,0.0,AT-039523-01
0.0,0.0,0.0,AT-042070-01
0.0,0.0,0.0,AT-042070-02
0.0,0.0,0.0,AT-042307-01
0.0,0.0,0.0,AT-043192-01
0.0,0.0,0.0,AT-043885-01
0.0,0.0,0.0,AT-043885-02
0.0,0.0,0.0,AT-044494-01
0.0,0.0,0.0,AT-044494-02
0.0,1.0,1.0,AT-044710-01
0.0,1.0,0.0,AT-046962-01
0.0,0.0,0.0,AT-047641-01
0.0,0.0,0.0,AT-049998-01
0.0,1.0,0.0,AT-051881-01
0.0,1.0,0.0,AT-052748-01
0.0,0.0,0.0,AT-052748-02
0.0,0.0,0.0,AT-052923-01
0.0,0.0,0.0,AT-053300-01
0.0,0.0,0.0,AT-053405-01
0.0,0.0,0.0,AT-053405-02
0.0,0.0,0.0,AT-054190-01
1.0,0.0,0.0,AT-055282-01
1.0,1.0,0.0,AT-055282-02
0.0,0.0,0.0,AT-056493-01
1.0,1.0,0.0,AT-056773-01
1.0,0.0,0.0,AT-056773-02
0.0,1.0,0.0,AT-056936-01
0.0,0.0,0.0,AT-057442-02
1.0,1.0,0.0,AT-060343-01
0.0,0.0,0.0,AT-060343-02
0.0,0.0,0.0,AT-060343-03
0.0,0.0,0.0,AT-061210-01
0.0,0.0,0.0,AT-061746-01
0.0,0.0,0.0,AT-061746-02
0.0,1.0,0.0,AT-062839-01
0.0,1.0,0.0,AT-062839-02
0.0,0.0,0.0,AT-062890-01
0.0,0.0,0.0,AT-063205-01
0.0,1.0,0.0,AT-063236-01
0.0,0.0,1.0,AT-064818-01
0.0,0.0,0.0,AT-064818-02
0.0,1.0,0.0,AT-065734-01
0.0,0.0,0.0,AT-066159-01
0.0,0.0,0.0,AT-066159-02
0.0,0.0,0.0,AT-067477-01
0.0,0.0,0.0,AT-068474-01
0.0,0.0,0.0,AT-070759-01
0.0,0.0,0.0,AT-070759-02
0.0,0.0,0.0,AT-072111-01
0.0,0.0,0.0,AT-074389-01
1.0,0.0,0.0,AT-075303-01
0.0,0.0,1.0,AT-075303-02
0.0,0.0,0.0,AT-075515-01
0.0,1.0,0.0,AT-076603-02
0.0,0.0,0.0,AT-076851-01
0.0,0.0,0.0,AT-078441-01
0.0,1.0,0.0,AT-078466-01
0.0,0.0,0.0,AT-079025-01
0.0,1.0,0.0,AT-079811-01
0.0,1.0,0.0,AT-079811-02
0.0,0.0,0.0,AT-079927-01
0.0,0.0,0.0,AT-082961-01
0.0,0.0,0.0,AT-083359-01
0.0,1.0,0.0,AT-085344-01
0.0,0.0,0.0,AT-085347-01
1.0,1.0,0.0,AT-085959-01
0.0,0.0,0.0,AT-087159-01
0.0,0.0,0.0,AT-087159-02
0.0,0.0,0.0,AT-087684-01
0.0,1.0,0.0,AT-090060-01
0.0,0.0,0.0,AT-090060-02
0.0,0.0,0.0,AT-090159-01
0.0,0.0,0.0,AT-091879-01
0.0,0.0,0.0,AT-091879-02
0.0,0.0,0.0,AT-094321-01
0.0,0.0,0.0,AT-094321-02
0.0,1.0,0.0,AT-094393-01
0.0,0.0,0.0,AT-094577-01
0.0,0.0,0.0,AT-096238-01
0.0,1.0,1.0,AT-096872-01
0.0,0.0,0.0,AT-096872-02
1.0,0.0,0.0,AT-098426-01
0.0,0.0,0.0,AT-099697-01
0.0,0.0,0.0,AT-100064-01
0.0,0.0,0.0,AT-100630-01
0.0,0.0,0.0,AT-102487-01
0.0,0.0,0.0,AT-102593-01
0.0,0.0,0.0,AT-103181-01
0.0,0.0,0.0,AT-104028-01
0.0,0.0,0.0,AT-105295-01
0.0,1.0,0.0,AT-106919-01
0.0,0.0,0.0,AT-107961-01
0.0,0.0,0.0,AT-108550-01
0.0,0.0,0.0,AT-111390-01
0.0,0.0,0.0,AT-111399-01
0.0,0.0,0.0,AT-111950-01
0.0,1.0,0.0,AT-112799-01
0.0,1.0,0.0,AT-114014-01
0.0,0.0,0.0,AT-114636-01
0.0,0.0,0.0,AT-114907-01
0.0,0.0,0.0,AT-114907-02
0.0,0.0,0.0,AT-114986-01
0.0,0.0,0.0,AT-115640-01
0.0,1.0,0.0,AT-115757-01
0.0,0.0,0.0,AT-117118-01
0.0,0.0,0.0,AT-117118-02
0.0,0.0,0.0,AT-117431-01
0.0,0.0,1.0,AT-117922-01
0.0,0.0,1.0,AT-117922-02
0.0,0.0,0.0,AT-119365-01
0.0,0.0,0.0,AT-119365-02
0.0,0.0,0.0,AT-119800-01
0.0,1.0,0.0,AT-119996-01
0.0,0.0,0.0,AT-119996-02
